Zipcode,Accuracy,Precision,Recall,F1 Score
10741,0,0,0,0
11012,0.4,0.16,0.4,0.228571429
13326,0.5,0.25,0.5,0.333333333
12760,0,0,0,0
10008,0.25,0.0625,0.25,0.1
13346,0,0,0,0
14323,1,1,1,1
10664,0,0,0,0
12752,0,0,0,0
12367,0,0,0,0
10410,0,0,0,0
12360,0,0,0,0
12815,0,0,0,0
12345,0.695652174,0.483931947,0.695652174,0.570791527
14039,0,0,0,0
12054,0.166666667,0.027777778,0.166666667,0.047619048
12334,0.285714286,0.081632653,0.285714286,0.126984127
14024,0.666666667,0.444444444,0.666666667,0.533333333
10408,0.5,0.25,0.5,0.333333333
12322,0.344827586,0.118906064,0.344827586,0.17683466
11824,0.166666667,0.027777778,0.166666667,0.047619048
11356,0,0,0,0
12329,0.166666667,0.027777778,0.166666667,0.047619048
12555,0.133333333,0.017777778,0.133333333,0.031372549
12538,0.352941176,0.124567474,0.352941176,0.184143223
14279,0,0,0,0
11544,0.2,0.04,0.2,0.066666667
14372,0.166666667,0.027777778,0.166666667,0.047619048
11832,0.666666667,0.444444444,0.666666667,0.533333333
14033,0.136363636,0.018595041,0.136363636,0.032727273
13502,0,0,0,0
10315,0.5,0.25,0.5,0.333333333
10520,0,0,0,0
13327,0.363636364,0.132231405,0.363636364,0.193939394
13528,0.047619048,0.002267574,0.047619048,0.004329004
12719,0.157894737,0.024930748,0.157894737,0.043062201
13743,0.25,0.0625,0.25,0.1
14322,0.333333333,0.111111111,0.333333333,0.166666667
12706,0.2,0.04,0.2,0.066666667
10322,0.142857143,0.020408163,0.142857143,0.035714286
13524,0.333333333,0.111111111,0.333333333,0.166666667
13261,0,0,0,0
12332,0.3,0.09,0.3,0.138461538
14320,0,0,0,0
12330,0.0625,0.00390625,0.0625,0.007352941
13032,0.285714286,0.081632653,0.285714286,0.126984127
11348,0,0,0,0
14046,0.4,0.16,0.4,0.228571429
13253,0.2,0.04,0.2,0.066666667
14014,0,0,0,0
13716,0.25,0.0625,0.25,0.1
13306,0.5,0.25,0.5,0.333333333
13522,0.375,0.140625,0.375,0.204545455
13051,0.136363636,0.018595041,0.136363636,0.032727273
13500,0,0,0,0
10337,0,0,0,0
14211,0,0,0,0
12024,0.142857143,0.020408163,0.142857143,0.035714286
13735,0.2,0.04,0.2,0.066666667
11017,0,0,0,0
13426,0.5,0.25,0.5,0.333333333
12040,0,0,0,0
14058,0.333333333,0.111111111,0.333333333,0.166666667
11537,0,0,0,0
13505,0.5,0.25,0.5,0.333333333
13329,0.5,0.25,0.5,0.333333333
12748,0,0,0,0
14045,0.142857143,0.020408163,0.142857143,0.035714286
12532,0,0,0,0
11536,0,0,0,0
14382,0,0,0,0
11355,0,0,0,0
11018,0.166666667,0.027777778,0.166666667,0.047619048
12335,0,0,0,0
11525,0.25,0.0625,0.25,0.1
11750,0.333333333,0.111111111,0.333333333,0.166666667
12348,0,0,0,0
10210,0.5,0.25,0.5,0.333333333
13203,0,0,0,0
13517,0,0,0,0
12309,1,1,1,1
12518,0.285714286,0.081632653,0.285714286,0.126984127
14074,0,0,0,0
10727,0,0,0,0
13335,0.333333333,0.111111111,0.333333333,0.166666667
11324,0,0,0,0
12331,0,0,0,0
12300,0,0,0,0
13201,0.090909091,0.008264463,0.090909091,0.015151515
12717,0.5,0.25,0.5,0.333333333
11330,0.4,0.16,0.4,0.228571429
11318,0,0,0,0
11734,0,0,0,0
13014,0.333333333,0.111111111,0.333333333,0.166666667
19210,0,0,0,0
14028,0.2,0.04,0.2,0.066666667
12347,0,0,0,0
12506,0.25,0.0625,0.25,0.1
13739,0.25,0.0625,0.25,0.1
14303,0.25,0.0625,0.25,0.1
11295,0,0,0,0
10522,0.25,0.0625,0.25,0.1
12810,0,0,0,0
12746,0,0,0,0
13418,0,0,0,0
11757,0.666666667,0.444444444,0.666666667,0.533333333
13514,0,0,0,0
11329,0,0,0,0
12416,0.333333333,0.111111111,0.333333333,0.166666667
11337,0.5,0.25,0.5,0.333333333
11534,0,0,0,0
12061,0,0,0,0
12531,0,0,0,0
14056,0,0,0,0
11006,0,0,0,0
12341,0,0,0,0
10619,0,0,0,0
13724,0.666666667,0.444444444,0.666666667,0.533333333
12730,0.5,0.25,0.5,0.333333333
13701,0,0,0,0
13612,0,0,0,0
13525,0.666666667,0.444444444,0.666666667,0.533333333
13016,0,0,0,0
13244,0.5,0.25,0.5,0.333333333
10313,0,0,0,0
10801,0,0,0,0
13323,0,0,0,0
12056,0,0,0,0
10709,0.5,0.25,0.5,0.333333333
10211,0,0,0,0
14005,0.5,0.25,0.5,0.333333333
13325,0,0,0,0
14712,0,0,0,0
12004,1,1,1,1
11306,0,0,0,0
13558,0.5,0.25,0.5,0.333333333
14054,0,0,0,0
12503,0,0,0,0
12270,0,0,0,0
11539,0,0,0,0
10204,0,0,0,0
12358,0,0,0,0
12759,0,0,0,0
14360,0,0,0,0
10251,0,0,0,0
12512,0,0,0,0
12016,0,0,0,0
12700,0,0,0,0
10508,0,0,0,0
12353,0,0,0,0
10904,0,0,0,0
11256,0,0,0,0
11202,0,0,0,0
10805,0,0,0,0
10010,0,0,0,0
13328,0,0,0,0
11053,0,0,0,0
10401,0,0,0,0
15515,0,0,0,0
12058,0,0,0,0
10835,0,0,0,0
10360,0,0,0,0
10247,0,0,0,0
11325,0,0,0,0
10369,0,0,0,0
89880,0,0,0,0
11564,0,0,0,0
13202,0,0,0,0
10311,0,0,0,0
10471,0,0,0,0
11835,0,0,0,0
12262,0,0,0,0
10559,0,0,0,0
13058,0,0,0,0
11554,0,0,0,0
11848,0,0,0,0
12557,0,0,0,0
11312,0,0,0,0
10546,0,0,0,0
10506,0,0,0,0
11922,0,0,0,0
11558,0,0,0,0
10110,0,0,0,0
19830,0,0,0,0
10629,0,0,0,0
11422,0,0,0,0
10402,0,0,0,0
10544,0,0,0,0
11100,0,0,0,0
10061,0,0,0,0
11629,0,0,0,0
11351,0,0,0,0
11759,0,0,0,0
14499,0,0,0,0
11446,0,0,0,0
14509,0,0,0,0
12502,0,0,0,0
12505,0,0,0,0
98168,0,0,0,0
14011,0,0,0,0
13939,0,0,0,0
10263,0,0,0,0
11711,0,0,0,0
10504,0,0,0,0
12823,0,0,0,0
13446,0,0,0,0
11462,0,0,0,0
13551,0,0,0,0
10058,0,0,0,0
12210,0,0,0,0
10542,0,0,0,0
11239,0,0,0,0
98778,0,0,0,0
10518,0,0,0,0
10556,0,0,0,0
10009,0,0,0,0
10496,0,0,0,0
12704,0,0,0,0
12205,0,0,0,0
11609,0,0,0,0
11206,0,0,0,0
10021,0,0,0,0
11705,0,0,0,0
13324,0,0,0,0
14501,0,0,0,0
11431,0,0,0,0
10745,0,0,0,0
11639,0,0,0,0
13209,0,0,0,0
14051,0,0,0,0
10481,0,0,0,0
10271,0,0,0,0
12258,0,0,0,0
12200,0,0,0,0
10558,0,0,0,0
14443,0,0,0,0
11715,0,0,0,0
12813,0,0,0,0
10304,0,0,0,0
13748,0,0,0,0
10290,0,0,0,0
10003,0,0,0,0
14357,0,0,0,0
13027,0,0,0,0
10915,0,0,0,0
10266,0,0,0,0
10375,0,0,0,0
11802,0,0,0,0
14106,0,0,0,0
12702,0,0,0,0
10680,0,0,0,0
12715,0,0,0,0
11316,0,0,0,0
13365,0,0,0,0
10405,0,0,0,0
15369,0,0,0,0
15130,0,0,0,0
11112,0,0,0,0
12105,0,0,0,0
10708,0,0,0,0
10670,0,0,0,0
11213,0,0,0,0
12000,0,0,0,0
18801,0,0,0,0
12233,0,0,0,0
12308,0,0,0,0
10751,0,0,0,0
12567,0,0,0,0
11501,0,0,0,0
12620,0,0,0,0
11954,0,0,0,0
10429,0,0,0,0
12533,0,0,0,0
31663,0,0,0,0
10319,0,0,0,0
11947,0,0,0,0
11124,0,0,0,0
11412,0,0,0,0
11505,0,0,0,0
13904,0,0,0,0
11322,0,0,0,0
13344,0,0,0,0
11225,0,0,0,0
11555,0,0,0,0
13545,0,0,0,0
12307,0,0,0,0
11416,0,0,0,0
74855,0,0,0,0
12454,0,0,0,0
12204,0,0,0,0
10116,0,0,0,0
11405,0,0,0,0
12818,0,0,0,0
14203,0,0,0,0
12202,0,0,0,0
12564,0,0,0,0
10635,0,0,0,0
13536,0,0,0,0
10308,0,0,0,0
13217,0,0,0,0
10855,0,0,0,0
12278,0,0,0,0
12559,0,0,0,0
12495,0,0,0,0
11761,0,0,0,0
16330,0,0,0,0
13555,0,0,0,0
10298,0,0,0,0
14021,0,0,0,0
11218,0,0,0,0
11040,0,0,0,0
10849,0,0,0,0
14526,0,0,0,0
14353,0,0,0,0
10406,0,0,0,0
14008,0,0,0,0
11617,0,0,0,0
10765,0,0,0,0
11313,0,0,0,0
20367,0,0,0,0
11151,0,0,0,0
10264,0,0,0,0
13906,0,0,0,0
12050,0,0,0,0
13707,0,0,0,0
10265,0,0,0,0
11255,0,0,0,0
12289,0,0,0,0
10685,0,0,0,0
10810,0,0,0,0
11303,0,0,0,0
14530,0,0,0,0
13054,0,0,0,0
11310,0,0,0,0
13301,0,0,0,0
10749,0,0,0,0
11827,0,0,0,0
13704,0,0,0,0
10637,0,0,0,0
13814,0,0,0,0
12302,0,0,0,0
11507,0,0,0,0
11755,0,0,0,0
14314,0,0,0,0
14003,0,0,0,0
12362,0,0,0,0
13755,0,0,0,0
13702,0,0,0,0
13542,0,0,0,0
13044,0,0,0,0
10303,0,0,0,0
23552,0,0,0,0
10100,0,0,0,0
10827,0,0,0,0
12098,0,0,0,0
12508,0,0,0,0
13255,0,0,0,0
11745,0,0,0,0
13722,0,0,0,0
14349,0,0,0,0
12422,0,0,0,0
12071,0,0,0,0
13416,0,0,0,0
11579,0,0,0,0
11058,0,0,0,0
12042,0,0,0,0
11055,0,0,0,0
11758,0,0,0,0
14022,0,0,0,0
13308,0,0,0,0
11811,0,0,0,0
11056,0,0,0,0
13758,0,0,0,0
12414,0,0,0,0
14299,0,0,0,0
13620,0,0,0,0
10512,0,0,0,0
14100,0,0,0,0
12303,0,0,0,0
10757,0,0,0,0
13349,0,0,0,0
13501,0,0,0,0
14304,0,0,0,0
14091,0,0,0,0
12053,0,0,0,0
11822,0,0,0,0
11099,0,0,0,0
10841,0,0,0,0
13609,0,0,0,0
10452,0,0,0,0
14485,0,0,0,0
